18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
19,0,255,255,255,255,255,255
18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
19,0,255,255,255,255,255,255
18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
19,0,255,255,255,255,255,255
18,0,0,255,0,0,0,0
18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
19,0,255,255,255,255,255,255
18,0,0,255,0,0,0,0
16,0,255,0,0,0,0,0
18,0,0,255,0,0,0,0
18,0,0,255,0,0,0,0
18,0,0,255,0,0,0,0
16,1,255,54,181,217,0,0
18,1,1,54,93,13,0,0
18,2,2,58,157,21,217,0
18,2,2,58,157,21,217,0
18,3,3,60,125,29,140,2
16,3,255,60,29,218,84,0
18,3,3,60,125,29,140,2
81,255,255,58,44,208,180,6
18,4,4,62,29,37,50,4
19,5,153,255,47,255,255,255
18,5,5,61,221,44,203,5
16,5,255,61,197,218,83,0
18,6,6,62,125,52,135,7
16,6,255,62,31,219,90,0
18,7,7,67,157,59,58,9
19,7,147,255,44,255,255,255
18,7,7,67,157,59,58,9
16,8,255,66,207,219,84,0
18,8,8,66,221,66,189,10
16,9,255,66,37,220,86,0
18,9,9,66,29,74,77,12
19,10,155,255,46,255,255,255
18,10,10,66,93,81,243,13
16,10,255,66,128,220,91,0
18,11,11,68,93,88,140,15
16,11,255,68,218,220,90,0
18,12,12,65,189,95,37,17
19,12,157,255,46,255,255,255
16,13,255,68,143,221,92,0
18,13,13,68,189,102,203,18
16,14,255,67,233,221,90,0
18,14,14,67,221,109,95,20
19,15,152,255,44,255,255,255
18,15,15,68,221,116,226,21
16,15,255,68,63,222,86,0
18,16,16,68,221,123,88,23
16,16,255,68,147,222,84,0
18,17,17,68,221,130,219,24
19,17,156,255,49,255,255,255
18,18,18,71,157,137,116,26
18,18,18,71,157,137,116,26
18,19,19,69,125,144,0,28
18,19,19,69,125,144,0,28
19,20,145,255,42,255,255,255
18,20,20,69,93,151,127,29
16,21,255,69,79,224,87,0
82,255,255,186,169,0,196,178
18,21,21,69,61,158,254,30
18,22,22,68,61,165,125,32
16,22,255,68,165,224,86,0
18,22,22,68,61,165,125,32
19,23,150,255,46,255,255,255
18,23,23,69,29,172,0,34
16,24,255,71,87,225,91,0
18,24,24,71,221,178,140,35
18,25,25,71,157,185,24,37
19,25,151,255,42,255,255,255
18,26,26,69,125,192,155,38
16,26,255,69,12,226,89,0
18,27,27,69,93,199,47,40
16,27,255,69,104,226,92,0
18,27,27,69,93,199,47,40
18,28,28,69,61,206,209,41
19,28,153,255,43,255,255,255
18,28,28,69,61,206,209,41
18,29,29,71,253,212,141,43
16,29,255,71,45,227,102,0
18,30,30,73,125,219,73,45
16,30,255,73,150,227,105,0
18,30,30,73,125,219,73,45
19,31,154,255,48,255,255,255
18,31,31,71,61,226,230,46
16,32,255,72,88,228,96,0
18,32,32,72,221,232,127,48
16,32,255,72,88,228,96,0
18,33,33,71,157,239,19,50
19,33,155,255,46,255,255,255
18,34,34,73,29,246,167,51
16,34,255,73,23,229,96,0
18,35,35,72,189,252,68,53
16,35,255,72,122,229,99,0
18,36,36,73,61,3,203,54
19,36,143,255,42,255,255,255
18,36,36,73,61,3,203,54
16,37,255,69,48,230,89,0
18,38,38,72,189,16,244,57
18,38,38,72,189,16,244,57
19,39,155,255,45,255,255,255
18,39,39,73,61,23,180,59
80,255,255,1,69,0,1,0
18,40,40,75,157,29,72,61
16,40,255,75,97,231,98,0
18,40,40,75,157,29,72,61
18,41,41,73,29,36,194,62
16,41,255,73,189,231,92,0
18,41,41,73,29,36,194,62
19,42,147,255,40,255,255,255
18,42,42,75,125,42,56,64
18,43,43,76,190,48,187,65
18,43,43,76,190,48,187,65
18,44,44,75,29,55,71,67
16,44,255,75,218,232,98,0
18,44,44,75,29,55,71,67
19,45,147,255,41,255,255,255
18,45,45,73,157,61,206,68
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
18,46,46,69,125,68,185,69
19,46,31,255,7,255,255,255
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
18,46,46,69,125,68,185,69
19,46,31,255,7,255,255,255
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
18,46,46,69,125,68,185,69
19,46,31,255,7,255,255,255
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
19,46,31,255,7,255,255,255
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
19,46,31,255,7,255,255,255
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
19,46,31,255,7,255,255,255
18,46,46,69,125,68,185,69
16,46,255,69,112,233,55,0
18,46,46,69,125,68,185,69
